"SeriesNumber","Order","Sensor1","Sensor2","Sensor3","Failure"
"1","1","98.24100522","50.88955497","20.85327297","false"
"1","2","97.01384203","51.88674488","21.10783572","false"
"1","3","96.12146270","52.36438332","21.40452108","false"
"1","4","94.70149119","53.20113811","22.37201997","false"
"1","5","92.73153967","53.61711244","22.57643844","false"
"1","6","92.10503657","54.32574787","22.79041204","false"
"1","7","91.45238037","54.41367266","23.66864710","false"
"1","8","93.77508655","53.29031936","22.80165854","false"
"1","9","91.84734911","54.20604272","23.27265823","false"
"1","10","92.53825362","52.47308772","22.57582819","false"
"1","11","91.47811007","53.11540064","23.37528395","false"
"1","12","89.86205569","53.53179874","24.22589094","false"
"1","13","88.15988078","53.73299846","24.67243697","false"
"1","14","86.77404895","53.84683758","24.91301290","false"
"1","15","84.81720172","54.41363178","25.04719671","false"
"1","16","84.77652208","55.39368270","25.67667818","false"
"1","17","84.75838429","55.85531056","26.10219760","false"
"1","18","84.36366420","55.87740368","26.13645920","false"
"1","19","83.89290834","56.07748276","26.39175001","false"
"1","20","82.24117713","56.27885103","26.83761702","false"
"1","21","80.59917721","56.62067492","27.33145107","false"
"1","22","80.06827555","56.76581585","27.51936263","false"
"1","23","78.09984055","57.47161414","28.38411176","false"
"1","24","76.54921776","58.12139570","29.09632276","false"
"1","25","74.92517884","58.52549733","29.47153239","false"
"1","26","73.97815495","58.87764461","29.73372152","false"
"1","27","72.71485579","59.12722472","30.05864894","false"
"1","28","71.57413019","59.34376586","30.40673928","false"
"1","29","70.65499905","59.41791562","30.95797628","false"
"1","30","72.13904411","57.71775510","30.64428052","false"
"1","31","70.79048318","58.29845721","31.31560633","false"
"1","32","68.85447896","59.16587336","31.81724309","false"
"1","33","67.75062481","59.31879643","31.93356544","false"
"1","34","66.99376704","60.01308435","32.78644322","false"
"1","35","65.67087988","60.67260436","33.57478854","false"
"1","36","67.03307558","58.77879002","33.01957784","false"
"1","37","65.66762502","59.13831060","33.17134548","false"
"1","38","63.92115027","59.41027022","33.92482509","false"
"1","39","65.02430707","57.41040933","32.72331345","false"
"1","40","67.30244188","56.09362632","31.48002668","false"
"1","41","66.16113061","56.62019716","32.34389364","false"
"1","42","65.17780650","57.39987053","33.05104398","false"
"1","43","66.67384160","55.48142023","32.38477981","false"
"1","44","65.56908930","55.73239654","32.46347614","false"
"1","45","64.80217395","56.30418804","33.38373071","false"
"1","46","64.32665513","56.81337713","33.78190752","false"
"1","47","63.69698948","56.98861676","34.44871601","false"
"1","48","64.96347086","55.85185695","33.85520717","false"
"1","49","64.76348848","56.32469542","34.67624328","false"
"1","50","63.57793752","57.09442773","35.55921215","false"
"1","51","64.21591421","55.22838408","34.84261225","false"
"1","52","63.30375837","55.48084403","35.40340422","false"
"1","53","62.72800148","56.46307585","36.11344983","false"
"1","54","64.04692216","55.29533120","35.62615725","false"
"1","55","63.44255426","55.50073166","36.20071728","false"
"1","56","62.98137998","55.69529525","37.03335054","false"
"1","57","62.05717903","55.77190771","37.46884089","false"
"1","58","61.15031274","56.64508657","38.15683816","false"
"1","59","62.96785022","55.37994646","37.57007526","false"
"1","60","62.02109166","55.51828826","37.65670847","false"
"1","61","60.58321596","55.83590420","37.71666714","false"
"1","62","62.62611950","53.96824003","37.45770240","false"
"1","63","61.50657473","54.23376182","37.71111530","false"
"1","64","61.39108443","54.68982950","38.68386927","false"
"1","65","60.60067829","55.27098729","38.97372690","false"
"1","66","60.49587837","55.69798269","39.54588752","false"
"1","67","61.68928394","54.37094509","39.23878596","false"
"1","68","63.11503382","52.62351900","38.90132503","false"
"1","69","62.22747632","52.69794705","39.51608226","false"
"1","70","60.90129642","53.03793875","39.89176887","false"
"1","71","59.00003395","53.31098145","40.87585785","true"
"2","1","98.30704021","50.49291115","20.66478634","false"
"2","2","96.84418470","51.30173571","20.72363890","false"
"2","3","95.53283115","52.00074832","21.20304056","false"
"2","4","95.07922064","52.39186869","21.60708891","false"
"2","5","94.85894186","53.37586308","21.67639575","false"
"2","6","95.58117826","51.78380945","20.56394841","false"
"2","7","97.91816905","49.85835971","19.77180933","false"
"2","8","97.20111922","50.28390318","19.90742335","false"
